Management, https://en.wikipedia.org/wiki/Management
Business and Financial operations, https://www.sps.nyu.edu/professional-pathways/courses/FINA1-CE9400-introduction-to-international-business-and-finance.html
Computer and Mathematical, http://www.intuitor.com/physics/ScienceCareers.php
Architecture and Engineering, https://en.wikiversity.org/wiki/Introduction_to_architecture
"Life, Physical and Social Science", http://www.intuitor.com/physics/ScienceCareers.php
Community and Social Service, https://en.wikipedia.org/wiki/Social_work
Legal, http://edynamiclearning.com/courses/high-school-legal-studies/
"Education, training and library", http://www.enlightiumacademy.com/ignitia-cte-introduction-to-careers-in-education-training
"Arts, design, entertainment, sports and media",http://www.spiritof76boosters.com/images/Brochures_-_Intro_to_AME_prod_.pdf
Healthcare practioners and technical, https://en.wikipedia.org/wiki/Health_care
Healthcare support, https://en.wikipedia.org/wiki/Health_care
Protective service, https://www.fletc.gov/training-program/protective-service-operations-training-program
Food preparation and serving, https://en.wikipedia.org/wiki/Chef
Building and grounds cleaning and maintenance, https://www.acgov.org/gsa/departments/bmd/
Personal care and service, https://www1.cfnc.org/Plan/For_A_Career/Career_Cluster_Profile/Career_Cluster_Profile.aspx?pid=1ro6Yfzvg5NciyNDMiW3RwXAP3DPAXXAP3DPAX
Sales, https://www.ama.org/students/Pages/Sales-Certificate-Program.aspx
Office and administrative support, http://money.usnews.com/careers/best-jobs/administrative-assistant
"Farming, fishing and forestry", https://collegegrad.com/industries/agriculture-forestry-and-fishing
Construction and extraction, http://www.careers.org/occupations/field/47/construction-and-extraction
"Installation, maintenance and repair", https://www1.cfnc.org/Plan/For_A_Career/Career_Cluster_Profile/Career_Cluster_Profile.aspx?pid=SxoN9LtIxS8B7SKZRLmWXAP2FPAXwXAP3DPAXXAP3DPAX
Production, https://www1.cfnc.org/Plan/For_A_Career/Career_Profile/Career_Profile.aspx?id=NHjXAP2FPAXZwSQ39qAGv2K0vgKNwXAP3DPAXXAP3DPAX
Transportation and material moving, https://www1.cfnc.org/Plan/For_A_Career/Career_Profile/Career_Profile.aspx?id=xUHQnV1eKScIaVmAtHvcPgXAP3DPAXXAP3DPAX
